"Ad name","Ad delivery",Results,"Result indicator","Cost per results","Amount spent (USD)","CPM (cost per 1,000 impressions) (USD)",Frequency,Reach,Impressions,"Clicks (all)","Cost per outbound click (USD)","Outbound CTR (click-through rate)","Outbound clicks","CPC (cost per link click) (USD)","CTR (link click-through rate)","Link clicks","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)","Reporting starts","Reporting ends","Ad set budget","Ad set budget type","Campaign ID","Ad ID","Ad set name","Ad set ID","Campaign name","Results (initial)","Results (initial) indicator"
"soulmate-static-birth-9x16 (1) – 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239452835860284,120239452835880284,Soulmate-abo-static-date_of_birth-1,120239452835910284,Soulmate-сbo-static-date_of_birth(1)-4,,
"soulmate-static-birth-9x16 (1) - 1",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239286855920284,120239286855950284,Soulmate-abo-static-date_of_birth-1,120239286855940284,Soulmate-сbo-static-date_of_birth(1)-3,,
"soulmate-static-birth-9x16 (1) - 1",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239968509520284,120239968509530284,Soulmate-abo-static-date_of_birth-1,120239968509490284,Soulmate-сbo-static-date_of_birth(1)-6,,
"soulmate-static-birth-9x16 (8)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240639307440284,120240639307450284,Soulmate-v2-abo-static-date_of_birth-1,120240639307400284,Soulmate-v2-сbo-static-date_of_birth-2,,
"Starseed_ES_static_9x16 (8)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120241041219770284,120241041806570284,Starseed_ES_cbo_static_9x16_ww-1,120241041219780284,Starseed_ES_cbo_static_9x16_ww,,
"soulmate-static-birth-9x16 (1) – 3",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240170192160284,120240170192190284,Soulmate-abo-static-date_of_birth-1,120240170192200284,Soulmate-сbo-static-date_of_birth(1)-8,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,50,Daily,120238347016050284,120238347016020284,Soulmate-abo-static-date_of_birth-1,120238347015990284,Soulmate-abo-static-date_of_birth-2,,
"Soulmate-static-heart-1x1 (1)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,40,Daily,120239232921650284,120239233102680284,Soulmate-abo-static-heart-1x1-1,120239233102600284,Soulmate-abo-static-heart-1x1-1,,
"soulmate-static-birth-9x16 (1) – 2",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239968509520284,120239968509510284,Soulmate-abo-static-date_of_birth-1,120239968509490284,Soulmate-сbo-static-date_of_birth(1)-6,,
"soulmate-static-birth-9x16 (1)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240639307440284,120240639307430284,Soulmate-v2-abo-static-date_of_birth-1,120240639307400284,Soulmate-v2-сbo-static-date_of_birth-2,,
"Starseed_ES_static_9x16 (2)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120241041219770284,120241041219760284,Starseed_ES_cbo_static_9x16_ww-1,120241041219780284,Starseed_ES_cbo_static_9x16_ww,,
"Post: ""Your ex could come back sooner than you think… 😳💔""",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,2,Daily,120239990229510284,120239990232820284,"Post: ""Your ex could come back sooner than you think… 😳💔""",120239990230080284,"Post: ""Your ex could come back sooner than you think… 😳💔""",,
Pastlife-sins-3,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,50,Daily,120238232931510284,120238233933390284,Pastlife-sins-3,120238233933360284,Pastlife-static-1-4-1,,
"Soulmate-static-heart-1x1 (2)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,40,Daily,120239232921650284,120239233102670284,Soulmate-abo-static-heart-1x1-2,120239233102610284,Soulmate-abo-static-heart-1x1-1,,
"soulmate-static-birth-9x16 (1) – 4",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239968509520284,120239968509500284,Soulmate-abo-static-date_of_birth-1,120239968509490284,Soulmate-сbo-static-date_of_birth(1)-6,,
"soulmate-static-birth-9x16 (13)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240639307440284,120240639307420284,Soulmate-v2-abo-static-date_of_birth-1,120240639307400284,Soulmate-v2-сbo-static-date_of_birth-2,,
"soulmate-static-birth-9x16 (8)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240956496950284,120240956497300284,Soulmate-v2-abo-static-date_of_birth-1,120240956497080284,Soulmate-v2-сbo-static-date_of_birth-5,,
"soulmate-static-birth-9x16 (1) – 3",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239989810150284,120239989810220284,Soulmate-abo-static-date_of_birth-1,120239989810140284,"Soulmate-сbo-static-date_of_birth(1)-5 – Copy",,
